epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
42,8766.67,0.70262,0.61797,0.924,0.95895,0.98337,0.98378,0.87633,0.51147,0.31717,0.82809,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,8973.49,0.70382,0.62125,0.92475,0.96414,0.97674,0.98447,0.87891,0.5039,0.31258,0.82673,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,9181.06,0.69947,0.61713,0.92299,0.95822,0.98331,0.98384,0.86876,0.5313,0.31483,0.83143,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,9387.93,0.69795,0.61708,0.92219,0.95828,0.98286,0.98452,0.87665,0.51395,0.31317,0.82824,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,9595.1,0.69992,0.61885,0.92214,0.95738,0.98447,0.98416,0.87048,0.53139,0.31347,0.83221,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,9803.05,0.6955,0.61382,0.92218,0.95527,0.98832,0.98378,0.88208,0.49569,0.3087,0.82459,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,10010,0.69221,0.60989,0.91944,0.96247,0.98452,0.98533,0.87624,0.51776,0.30618,0.82797,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
49,10217.2,0.68687,0.6042,0.91794,0.96087,0.982,0.9845,0.88094,0.5004,0.30523,0.82529,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248,0.015744,0.005248
50,10423.3,0.68588,0.60052,0.91554,0.96194,0.97805,0.98401,0.88209,0.49456,0.30289,0.82412,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149,0.015447,0.005149
51,10630.5,0.67963,0.59615,0.91716,0.95885,0.98477,0.98458,0.87846,0.50877,0.30415,0.82692,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
